N,AreaWide,ErrorWidePercent,RectangleAreaWide,AreaNarrow,ErrorNarrowPercent,RectangleAreaNarrow,ExactArea
42100,0.932494,1.27298,9.72214,0.945457,0.099528,1.25,0.944517
42600,0.933188,1.19946,9.72214,0.945599,0.114493,1.25,0.944517
43100,0.933866,1.12764,9.72214,0.945418,0.0953342,1.25,0.944517
43600,0.936536,0.844998,9.72214,0.945986,0.155535,1.25,0.944517
44100,0.936941,0.802171,9.72214,0.94606,0.163354,1.25,0.944517
44600,0.939298,0.552594,9.72214,0.945852,0.141324,1.25,0.944517
45100,0.939878,0.491135,9.72214,0.945732,0.128586,1.25,0.944517
45600,0.941086,0.363305,9.72214,0.946025,0.159662,1.25,0.944517
46100,0.942267,0.238249,9.72214,0.946394,0.198675,1.25,0.944517
46600,0.943005,0.160053,9.72214,0.946459,0.205612,1.25,0.944517
47100,0.941664,0.302057,9.72214,0.946125,0.170254,1.25,0.944517
47600,0.940351,0.441077,9.72214,0.946035,0.160662,1.25,0.944517
48100,0.941087,0.363212,9.72214,0.945816,0.137512,1.25,0.944517
48600,0.942207,0.244589,9.72214,0.94519,0.0712685,1.25,0.944517
49100,0.944097,0.0445267,9.72214,0.945239,0.076454,1.25,0.944517
49600,0.94438,0.014518,9.72214,0.944808,0.0308392,1.25,0.944517
50100,0.943688,0.0878351,9.72214,0.94481,0.0310416,1.25,0.944517
50600,0.943777,0.0783339,9.72214,0.945158,0.0678566,1.25,0.944517
51100,0.944056,0.0488753,9.72214,0.945132,0.0651029,1.25,0.944517
51600,0.943575,0.0997801,9.72214,0.945664,0.121393,1.25,0.944517
52100,0.944596,0.00834561,9.72214,0.945609,0.115638,1.25,0.944517
52600,0.945043,0.0557091,9.72214,0.945651,0.120057,1.25,0.944517
53100,0.944201,0.0335118,9.72214,0.945504,0.104453,1.25,0.944517
53600,0.944643,0.0133585,9.72214,0.945406,0.0940796,1.25,0.944517
54100,0.944718,0.0213098,9.72214,0.944963,0.0472035,1.25,0.944517
54600,0.944792,0.0291155,9.72214,0.945009,0.0520871,1.25,0.944517
55100,0.941865,0.280798,9.72214,0.945077,0.0592839,1.25,0.944517
55600,0.941613,0.307442,9.72214,0.944852,0.0354078,1.25,0.944517
56100,0.941713,0.296915,9.72214,0.945053,0.0567793,1.25,0.944517
56600,0.943356,0.1229,9.72214,0.945053,0.0567293,1.25,0.944517
57100,0.942077,0.258387,9.72214,0.944943,0.0450914,1.25,0.944517
57600,0.940988,0.373651,9.72214,0.94477,0.0267628,1.25,0.944517
58100,0.942093,0.256618,9.72214,0.944793,0.0292503,1.25,0.944517
58600,0.941687,0.29967,9.72214,0.944923,0.0429873,1.25,0.944517
59100,0.941123,0.35941,9.72214,0.94486,0.0363382,1.25,0.944517
59600,0.940568,0.418147,9.72214,0.945113,0.0631083,1.25,0.944517
60100,0.940669,0.4074,9.72214,0.945424,0.0960392,1.25,0.944517
60600,0.94125,0.345873,9.72214,0.945648,0.119691,1.25,0.944517
61100,0.942618,0.201121,9.72214,0.945847,0.14079,1.25,0.944517
61600,0.941911,0.275945,9.72214,0.945739,0.12932,1.25,0.944517
62100,0.942468,0.216963,9.72214,0.946075,0.16492,1.25,0.944517
62600,0.943171,0.142481,9.72214,0.946066,0.164011,1.25,0.944517
63100,0.940782,0.39543,9.72214,0.945523,0.106488,1.25,0.944517
63600,0.940265,0.45019,9.72214,0.945519,0.106052,1.25,0.944517
64100,0.939149,0.568328,9.72214,0.945359,0.0891067,1.25,0.944517
64600,0.940308,0.44563,9.72214,0.945298,0.0826668,1.25,0.944517
65100,0.9413,0.340628,9.72214,0.945411,0.0946219,1.25,0.944517
65600,0.94035,0.441209,9.72214,0.945808,0.136656,1.25,0.944517
66100,0.941326,0.33783,9.72214,0.945991,0.156031,1.25,0.944517
66600,0.941412,0.328734,9.72214,0.945721,0.127423,1.25,0.944517
67100,0.941207,0.350455,9.72214,0.945641,0.118965,1.25,0.944517
67600,0.942731,0.189134,9.72214,0.945655,0.120421,1.25,0.944517
68100,0.943947,0.0604111,9.72214,0.94565,0.119912,1.25,0.944517
68600,0.943019,0.158636,9.72214,0.945937,0.150278,1.25,0.944517
69100,0.94323,0.13627,9.72214,0.945948,0.151476,1.25,0.944517
69600,0.94288,0.173382,9.72214,0.945995,0.156459,1.25,0.944517
70100,0.943227,0.136546,9.72214,0.94572,0.127389,1.25,0.944517
70600,0.941918,0.275188,9.72214,0.945485,0.10248,1.25,0.944517
71100,0.942815,0.180246,9.72214,0.94564,0.118871,1.25,0.944517
71600,0.943427,0.115382,9.72214,0.945304,0.0832791,1.25,0.944517
72100,0.942413,0.222734,9.72214,0.944938,0.0445096,1.25,0.944517
72600,0.942083,0.257717,9.72214,0.945093,0.0609612,1.25,0.944517
73100,0.941092,0.362626,9.72214,0.945263,0.0789982,1.25,0.944517
73600,0.941568,0.312271,9.72214,0.94538,0.0913958,1.25,0.944517
74100,0.94125,0.345942,9.72214,0.945412,0.094696,1.25,0.944517
74600,0.941588,0.310171,9.72214,0.945459,0.099726,1.25,0.944517
75100,0.94205,0.261171,9.72214,0.945689,0.124073,1.25,0.944517
75600,0.940192,0.457897,9.72214,0.945916,0.148099,1.25,0.944517
76100,0.940658,0.40857,9.72214,0.945762,0.13181,1.25,0.944517
76600,0.940737,0.4002,9.72214,0.94579,0.134739,1.25,0.944517
77100,0.941067,0.365238,9.72214,0.945882,0.144496,1.25,0.944517
77600,0.941393,0.330726,9.72214,0.94607,0.164359,1.25,0.944517
78100,0.941342,0.336195,9.72214,0.946031,0.160245,1.25,0.944517
78600,0.941909,0.276115,9.72214,0.946008,0.157867,1.25,0.944517
79100,0.941855,0.28186,9.72214,0.945875,0.143808,1.25,0.944517
79600,0.941435,0.326327,9.72214,0.945587,0.113299,1.25,0.944517
80100,0.941627,0.305985,9.72214,0.945943,0.150912,1.25,0.944517
80600,0.941576,0.311438,9.72214,0.946107,0.168354,1.25,0.944517
81100,0.941405,0.329516,9.72214,0.946131,0.170895,1.25,0.944517
81600,0.940998,0.3726,9.72214,0.945987,0.155565,1.25,0.944517
82100,0.940833,0.390085,9.72214,0.946041,0.161376,1.25,0.944517
82600,0.940081,0.469666,9.72214,0.94602,0.159107,1.25,0.944517
